Produto_numero;Nome;Codigo;Familia_numero;Linha_numero;Grupo;Fabricante;Fabricado_por;Conteudo_unidade;Unidade_medida;Peso_liquido;Peso_bruto;Preco_compra;Preco_venda;Estoque_minimo;Estoque_maximo;Estoque_ideal;Tempo_reposicao
763;MANUTENcAO DO BR 06;31081905;10;18;Acabado;MAFER FERRAMENTARIA;Terceiros;1;UN;1;1;9746.00;19082.60;13;30;20;11
524;REAR WHEEL ARCH LOWER;31081743;13;19;Acabado;MAFER FERRAMENTARIA;Terceiros;1;UN;1399;1400;1.00;1.00;14;35;25;10
857;PEAD HS4506 NATURAL;31081955;1;9;Materia Prima;MAIS POLIMEROS;Terceiros;1;KG;1;1;14.00;19.88;5;25;15;5
1307;PALLETS DE PLASTICOS 100X1200 KAUTEX;31082148;6;14;Acabado;MARFENIT;Terceiros;1;UN;1000;1000;138.00;350.00;7;30;20;8
564;ARMARIO;31081782;13;19;Acabado;MARFENIT;Terceiros;1;UN;1;2;1.00;1.00;12;30;20;12
1305;CAIXA KLT 6429 PRETA KAUTEX;31082146;6;14;Acabado;MARFINIT;Terceiros;1;UN;1000;1000;87.00;90.00;5;25;15;7
1306;TAMPA PARA PALLET PRETO KAUTEX;31082147;6;14;Acabado;MARFINIT;Terceiros;1;UN;1000;1000;122.00;198.00;5;25;15;14
562;FRONT LOWER SPOLLER UP CROSS;31081780;13;19;Acabado;MARFINIT;Terceiros;1;UN;1;2;1.00;1.00;7;30;20;3
563;FLANDE DO TANQUE GM;31081781;13;19;Acabado;MARFINIT;Terceiros;1;UN;1;2;1.00;1.00;14;35;25;12
88;BUCHA REDONDA 11.00X1.50X18.00 AcO INOX;31081581;1;3;Materia Prima;MASION;Terceiros;1;UN;0.006;0.006;0.49;0.97;4;25;15;2
89;BUCHA OBILONGO;31081582;1;3;Materia Prima;MASION;Terceiros;1;UN;0.009;0.009;1.00;1.66;15;35;25;9
90;BUCHA REDONDA 11.00X0.50X27.00 AcO INOX;31081583;1;10;Materia Prima;MASION;Terceiros;1;UN;0.0035;0.0035;0.45;0.89;15;35;25;10
612;BUCHA INOX 12.00X1.50X8.80mm;31081806;5;22;Materia Prima;MASION;Terceiros;1;UN;0.0004;0.0004;0.47;0.94;10;30;20;8
803;BOMBA DE AGUA;31081926;5;14;Acabado;Mastec;Terceiros;1;UN;1;1;6206.00;7000.00;13;30;20;8
529;SPEED LIP LATERAL B299ICA;31081747;13;19;Acabado;Mastec;Terceiros;1;UN;449;450;1.00;1.00;4;25;15;7
530;CORPO DO TERMOSTATO;31081748;13;19;Acabado;Mastec;Terceiros;1;UN;1;2;1.00;1.00;6;30;20;2
531;ENJOLIVEUR AB;31081749;13;19;Acabado;Mastec;Terceiros;1;UN;1699;1700;1.00;1.00;11;30;20;2
532;TAMPA DO TERMOSTATO;31081750;13;19;Acabado;Mastec;Terceiros;1;UN;379;380;1.00;1.00;3;25;15;7
533;TAMPA DO REBOQUE PSA;31081751;13;19;Acabado;Mastec;Terceiros;1;UN;479;480;1.00;1.00;7;30;20;7
534;TAMPA DO REBOQUE UP VW;31081752;13;19;Acabado;Mastec;Terceiros;1;UN;399;400;1.00;1.00;11;30;20;5
1452;DISPOSITIVO DA FACA DE CORTE ESPUMA HJF;31082247;13;27;Acabado;TARZIA;Terceiros;1;UN;1;1;15.00;18.00;5;25;15;8
1150;DISPOSITIVO DE RESFRIAMENTO FILLER CUP HHA M0 L7 BRAZIL;31082103;13;27;Acabado;MAXFER;Terceiros;1;UN;30;30;5701.00;13000.00;3;25;15;10
549;GRADE COM FAROL;31081767;13;19;Acabado;MAXFER;Terceiros;1;UN;2999;3000;1.00;1.00;6;30;20;15
550;SHAFT TOYOTA 230B;31081768;13;19;Acabado;MAXFER;Terceiros;1;UN;1;2;1.00;1.00;15;35;25;11
111;SACO PLASTICO BOLHA 300X400;31081602;6;12;Embalagem;MAXIMUS;Terceiros;1;UN;1;1;0.13;0.25;8;30;20;12
